stateName,cityName,status
Gujarat,Narmada,TRUE
Gujarat,Navsari,TRUE
Gujarat,Panch Mahals,TRUE
Gujarat,Patan,TRUE
Gujarat,Porbandar,TRUE
Gujarat,Rajkot,TRUE
Gujarat,Sabar Kantha,TRUE
Gujarat,Surat,TRUE
Gujarat,Surendranagar,TRUE
Gujarat,Tapi,TRUE
Gujarat,Vadodara,TRUE
Gujarat,Valsad,TRUE
Haryana,Ambala,TRUE
Haryana,Bhiwani,TRUE
Haryana,Charki Dadri,TRUE
Haryana,Faridabad,TRUE
Haryana,Fatehabad,TRUE
Haryana,Gurugram,TRUE
Haryana,Hisar,TRUE
Haryana,Jhajjar,TRUE
Haryana,Jind,TRUE
Haryana,Kaithal,TRUE
Haryana,Karnal,TRUE
Haryana,Kurukshetra,TRUE
Haryana,Mahendragarh,TRUE
Haryana,Nuh,TRUE
Haryana,Palwal,TRUE
Haryana,Panchkula,TRUE
Haryana,Panipat,TRUE
Haryana,Rewari,TRUE
Haryana,Rohtak,TRUE
Haryana,Sirsa,TRUE
Haryana,Sonipat,TRUE
Haryana,Yamunanagar,TRUE
Himachal Pradesh,Bilaspur,TRUE
Himachal Pradesh,Chamba,TRUE
Himachal Pradesh,Hamirpur,TRUE
Himachal Pradesh,Kangra,TRUE
Himachal Pradesh,Kinnaur,TRUE
Himachal Pradesh,Kullu,TRUE
Himachal Pradesh,Lahul And Spiti,TRUE
Himachal Pradesh,Mandi,TRUE
Himachal Pradesh,Shimla,TRUE
Himachal Pradesh,Sirmaur,TRUE
Himachal Pradesh,Solan,TRUE
Himachal Pradesh,Una,TRUE
Jammu And Kashmir,Anantnag,TRUE
Jammu And Kashmir,Bandipora,TRUE
Jammu And Kashmir,Baramulla,TRUE
Jammu And Kashmir,Budgam,TRUE
Jammu And Kashmir,Doda,TRUE
Jammu And Kashmir,Ganderbal,TRUE
Jammu And Kashmir,Jammu,TRUE
Jammu And Kashmir,Kathua,TRUE
Jammu And Kashmir,Kishtwar,TRUE
Jammu And Kashmir,Kulgam,TRUE
Jammu And Kashmir,Kupwara,TRUE
Jammu And Kashmir,Poonch,TRUE
Jammu And Kashmir,Pulwama,TRUE
Jammu And Kashmir,Rajouri,TRUE
Jammu And Kashmir,Ramban,TRUE
Jammu And Kashmir,Reasi,TRUE
Jammu And Kashmir,Samba,TRUE
Jammu And Kashmir,Shopian,TRUE
Jammu And Kashmir,Srinagar,TRUE
Jammu And Kashmir,Udhampur,TRUE
Jharkhand,Bokaro,TRUE
Jharkhand,Chatra,TRUE
Jharkhand,Deoghar,TRUE
Jharkhand,Dhanbad,TRUE
Jharkhand,Dumka,TRUE
Jharkhand,East Singhbum,TRUE
Jharkhand,Garhwa,TRUE
Jharkhand,Giridih,TRUE
Jharkhand,Godda,TRUE
Jharkhand,Gumla,TRUE
Jharkhand,Hazaribagh,TRUE
Jharkhand,Jamtara,TRUE
Jharkhand,Khunti,TRUE
Jharkhand,Koderma,TRUE
Jharkhand,Latehar,TRUE
Jharkhand,Lohardaga,TRUE
Jharkhand,Pakur,TRUE
Jharkhand,Palamu,TRUE
Jharkhand,Ramgarh,TRUE
Jharkhand,Ranchi,TRUE
Jharkhand,Sahebganj,TRUE
Jharkhand,Saraikela Kharsawan,TRUE
Jharkhand,Simdega,TRUE
Jharkhand,West Singhbhum,TRUE
Karnataka,Bagalkote,TRUE
Karnataka,Ballari,TRUE
Karnataka,Belagavi,TRUE
Karnataka,Bengaluru Rural,TRUE
Karnataka,Bengaluru Urban,TRUE
Karnataka,Bidar,TRUE
Karnataka,Chamarajanagara,TRUE
Karnataka,Chikkaballapura,TRUE
Karnataka,Chikkamagaluru,TRUE
Karnataka,Chitradurga,TRUE
Karnataka,Dakshina Kannada,TRUE
Karnataka,Davangere,TRUE
Karnataka,Dharwad,TRUE
Karnataka,Gadag,TRUE
Karnataka,Hassan,TRUE
Karnataka,Haveri,TRUE
Karnataka,Kalaburagi,TRUE
Karnataka,Kodagu,TRUE
Karnataka,Kolar,TRUE
Karnataka,Koppal,TRUE
Karnataka,Mandya,TRUE
Karnataka,Mysuru,TRUE
Karnataka,Raichur,TRUE
Karnataka,Ramanagara,TRUE
Karnataka,Shivamogga,TRUE
Karnataka,Tumakuru,TRUE
Karnataka,Udupi,TRUE
Karnataka,Uttara Kannada,TRUE
Karnataka,Vijayapura,TRUE
Karnataka,Yadgir,TRUE
Kerala,Alappuzha,TRUE
Kerala,Ernakulam,TRUE
Kerala,Idukki,TRUE
Kerala,Kannur,TRUE
Kerala,Kasaragod,TRUE
Kerala,Kollam,TRUE
Kerala,Kottayam,TRUE
Kerala,Kozhikode,TRUE
Kerala,Malappuram,TRUE
Kerala,Palakkad,TRUE
Kerala,Pathanamthitta,TRUE
Kerala,Thiruvananthapuram,TRUE
Kerala,Thrissur,TRUE
Kerala,Wayanad,TRUE
Ladakh,Kargil,TRUE
Ladakh,Leh Ladakh,TRUE
Lakshadweep,Lakshadweep District,TRUE
Madhya Pradesh,Agar Malwa,TRUE
Madhya Pradesh,Alirajpur,TRUE
Madhya Pradesh,Anuppur,TRUE
Madhya Pradesh,Ashoknagar,TRUE
Madhya Pradesh,Balaghat,TRUE
Madhya Pradesh,Barwani,TRUE
Madhya Pradesh,Betul,TRUE
Madhya Pradesh,Bhind,TRUE
Madhya Pradesh,Bhopal,TRUE
Madhya Pradesh,Burhanpur,TRUE
Madhya Pradesh,Chhatarpur,TRUE
Madhya Pradesh,Chhindwara,TRUE
Madhya Pradesh,Damoh,TRUE
Madhya Pradesh,Datia,TRUE
Madhya Pradesh,Dewas,TRUE
Madhya Pradesh,Dhar,TRUE
Madhya Pradesh,Dindori,TRUE
Madhya Pradesh,East Nimar,TRUE
Madhya Pradesh,Guna,TRUE
Madhya Pradesh,Gwalior,TRUE
Madhya Pradesh,Harda,TRUE
Madhya Pradesh,Hoshangabad,TRUE
Madhya Pradesh,Indore,TRUE
Madhya Pradesh,Jabalpur,TRUE
Madhya Pradesh,Jhabua,TRUE
Madhya Pradesh,Katni,TRUE
Madhya Pradesh,Khargone,TRUE
Madhya Pradesh,Mandla,TRUE
Madhya Pradesh,Mandsaur,TRUE
Madhya Pradesh,Morena,TRUE
Madhya Pradesh,Narsinghpur,TRUE
Madhya Pradesh,Neemuch,TRUE
Madhya Pradesh,Niwari,TRUE
Madhya Pradesh,Panna,TRUE
Madhya Pradesh,Raisen,TRUE
Madhya Pradesh,Rajgarh,TRUE
Madhya Pradesh,Ratlam,TRUE
Madhya Pradesh,Rewa,TRUE
Madhya Pradesh,Sagar,TRUE
Madhya Pradesh,Satna,TRUE
Madhya Pradesh,Sehore,TRUE
Madhya Pradesh,Seoni,TRUE
Madhya Pradesh,Shahdol,TRUE
Madhya Pradesh,Shajapur,TRUE
Madhya Pradesh,Sheopur,TRUE
Madhya Pradesh,Shivpuri,TRUE
Madhya Pradesh,Sidhi,TRUE
Madhya Pradesh,Singrauli,TRUE
Madhya Pradesh,Tikamgarh,TRUE
Madhya Pradesh,Ujjain,TRUE
Madhya Pradesh,Umaria,TRUE
Madhya Pradesh,Vidisha,TRUE
Maharashtra,Ahmednagar,TRUE
Maharashtra,Akola,TRUE
Maharashtra,Amravati,TRUE
Maharashtra,Aurangabad,TRUE
Maharashtra,Beed,TRUE
Maharashtra,Bhandara,TRUE
Maharashtra,Buldhana,TRUE
Maharashtra,Chandrapur,TRUE
Maharashtra,Dhule,TRUE
Maharashtra,Gadchiroli,TRUE
Maharashtra,Gondia,TRUE
Maharashtra,Hingoli,TRUE
Maharashtra,Jalgaon,TRUE
Maharashtra,Jalna,TRUE
Maharashtra,Kolhapur,TRUE
Maharashtra,Latur,TRUE
Maharashtra,Nagpur,TRUE
Maharashtra,Nanded,TRUE
Maharashtra,Nandurbar,TRUE
Maharashtra,Nashik,TRUE
Maharashtra,Osmanabad,TRUE
Maharashtra,Palghar,TRUE
Maharashtra,Parbhani,TRUE
Maharashtra,Pune,TRUE
Maharashtra,Raigad,TRUE
Maharashtra,Ratnagiri,TRUE
Maharashtra,Sangli,TRUE
Maharashtra,Satara,TRUE
Maharashtra,Sindhudurg,TRUE
Maharashtra,Solapur,TRUE
Maharashtra,Thane,TRUE
Maharashtra,Wardha,TRUE
Maharashtra,Washim,TRUE
Maharashtra,Yavatmal,TRUE
Manipur,Bishnupur,TRUE
Manipur,Chandel,TRUE
Manipur,Churachandpur,TRUE
Manipur,Imphal East,TRUE
Manipur,Imphal West,TRUE
Manipur,Jiribam,TRUE
Manipur,Kakching,TRUE
Manipur,Kamjong,TRUE
Manipur,Kangpokpi,TRUE
Manipur,Noney,TRUE
Manipur,Pherzawl,TRUE
Manipur,Senapati,TRUE
Manipur,Tamenglong,TRUE
Manipur,Tengnoupal,TRUE
Manipur,Thoubal,TRUE
Manipur,Ukhrul,TRUE
Meghalaya,Eastern West Khasi Hills,TRUE
Meghalaya,East Garo Hills,TRUE
Meghalaya,East Jaintia Hills,TRUE
Meghalaya,East Khasi Hills,TRUE
Meghalaya,North Garo Hills,TRUE
Meghalaya,Ri Bhoi,TRUE
Meghalaya,South Garo Hills,TRUE
Meghalaya,South West Garo Hills,TRUE
Meghalaya,South West Khasi Hills,TRUE
Meghalaya,West Garo Hills,TRUE
Meghalaya,West Jaintia Hills,TRUE
Meghalaya,West Khasi Hills,TRUE
Mizoram,Aizawl,TRUE
Mizoram,Champhai,TRUE
Mizoram,Hnahthial,TRUE
Mizoram,Khawzawl,TRUE
Mizoram,Kolasib,TRUE
Mizoram,Lawngtlai,TRUE
Mizoram,Lunglei,TRUE
Mizoram,Mamit,TRUE
Mizoram,Saiha,TRUE
Mizoram,Saitual,TRUE
Mizoram,Serchhip,TRUE
Nagaland,Dimapur,TRUE
Nagaland,Kiphire,TRUE
Nagaland,Kohima,TRUE
Nagaland,Longleng,TRUE
Nagaland,Mokokchung,TRUE
Nagaland,Mon,TRUE
Nagaland,Noklak,TRUE
Nagaland,Peren,TRUE
Nagaland,Phek,TRUE
Nagaland,Tuensang,TRUE
Nagaland,Wokha,TRUE
Nagaland,Zunheboto,TRUE
Odisha,Anugul,TRUE
Odisha,Balangir,TRUE
Odisha,Baleshwar,TRUE
Odisha,Bargarh,TRUE
Odisha,Bhadrak,TRUE
Odisha,Boudh,TRUE
Odisha,Cuttack,TRUE
Odisha,Deogarh,TRUE
Odisha,Dhenkanal,TRUE
Odisha,Gajapati,TRUE
Odisha,Ganjam,TRUE
Odisha,Jagatsinghapur,TRUE
Odisha,Jajapur,TRUE
Odisha,Jharsuguda,TRUE
Odisha,Kalahandi,TRUE
Odisha,Kandhamal,TRUE
Odisha,Kendrapara,TRUE
Odisha,Kendujhar,TRUE
Odisha,Khordha,TRUE
Odisha,Koraput,TRUE
Odisha,Malkangiri,TRUE
Odisha,Mayurbhanj,TRUE
Odisha,Nabarangpur,TRUE
Odisha,Nayagarh,TRUE
Odisha,Nuapada,TRUE
Odisha,Puri,TRUE
Odisha,Rayagada,TRUE
Odisha,Sambalpur,TRUE
Odisha,Sonepur,TRUE
Odisha,Sundargarh,TRUE
Puducherry,Karaikal,TRUE
Puducherry,Pondicherry,TRUE
Punjab,Amritsar,TRUE
Punjab,Barnala,TRUE
Punjab,Bathinda,TRUE
Punjab,Faridkot,TRUE
Punjab,Fatehgarh Sahib,TRUE
Punjab,Fazilka,TRUE
Punjab,Ferozepur,TRUE
Punjab,Gurdaspur,TRUE
Punjab,Hoshiarpur,TRUE
Punjab,Jalandhar,TRUE
Punjab,Kapurthala,TRUE
Punjab,Ludhiana,TRUE
Punjab,Malerkotla,TRUE
Punjab,Mansa,TRUE
Punjab,Moga,TRUE
Punjab,Pathankot,TRUE
Punjab,Patiala,TRUE
Punjab,Rupnagar,TRUE
Punjab,Sangrur,TRUE
Punjab,S.A.S Nagar,TRUE
Punjab,Shahid Bhagat Singh Nagar,TRUE
Punjab,Sri Muktsar Sahib,TRUE
Punjab,Tarn Taran,TRUE
Rajasthan,Ajmer,TRUE
Rajasthan,Alwar,TRUE
Rajasthan,Banswara,TRUE
Rajasthan,Baran,TRUE
Rajasthan,Barmer,TRUE
Rajasthan,Bharatpur,TRUE
Rajasthan,Bhilwara,TRUE
Rajasthan,Bikaner,TRUE
Rajasthan,Bundi,TRUE
Rajasthan,Chittorgarh,TRUE
Rajasthan,Churu,TRUE
Rajasthan,Dausa,TRUE
Rajasthan,Dholpur,TRUE
Rajasthan,Dungarpur,TRUE
Rajasthan,Ganganagar,TRUE
Rajasthan,Hanumangarh,TRUE
Rajasthan,Jaipur,TRUE
Rajasthan,Jaisalmer,TRUE
Rajasthan,Jalore,TRUE
Rajasthan,Jhalawar,TRUE
Rajasthan,Jhunjhunu,TRUE
Rajasthan,Jodhpur,TRUE
Rajasthan,Karauli,TRUE
Rajasthan,Kota,TRUE
Rajasthan,Nagaur,TRUE
Rajasthan,Pali,TRUE
Rajasthan,Pratapgarh,TRUE
Rajasthan,Rajsamand,TRUE
Rajasthan,Sawai Madhopur,TRUE
Rajasthan,Sikar,TRUE
Rajasthan,Sirohi,TRUE
Rajasthan,Tonk,TRUE
Rajasthan,Udaipur,TRUE
Sikkim,Gangtok,TRUE
Sikkim,Gyalshing,TRUE
Sikkim,Mangan,TRUE
Sikkim,Namchi,TRUE
Sikkim,Pakyong,TRUE
Tamil Nadu,Ariyalur,TRUE
Tamil Nadu,Chengalpattu,TRUE
Tamil Nadu,Chennai,TRUE
Tamil Nadu,Coimbatore,TRUE
Tamil Nadu,Cuddalore,TRUE
Tamil Nadu,Dharmapuri,TRUE
